Date,Length of Meeting (hours),Attendence,Summary,Design Decisions,Rationale for Design Decisions,Raw Notes (before editing),,,,,,
3/2/2016,4,All Present,Agreed to use issue tracking more,Ask customer if any more ideas,We needed more user stories,read and discussed some of It2 requirements,,,,,,
,,,Agreed to read the It requirements sooner,We needed to finish earlier and have work done in parallel,We had a lot to do in little time,,did not finish reading,,,,,
,,,Delegated roles for the new tasks/user stories,,Exams were coming up and we did not want to spend too long idling in this project,,essentially it emphasizes testing and logging,,,,,
,,,Agreed on deadline,,See what we can get done on the deadline and work from there,,,,,,,
,,,,,,"because we saved more time by using the MP library, we can:",,,,,,
,,,,,,,expand functionality of it to meet our needs,,,,,
,,,,,,,make more user friendly data entry ,,,,,
,,,,,,,,Examples,,,,
,,,,,,,,,Khaled's branch incorporates a pie chart that minimizes finger movement for data input ,,,
,,,,,,,,adding foods will have some tree layout,,,,
,,,,,,,,,looks nicer,,,
,,,,,,,,,May need more libraries,,,
,,,,,,,,,,If we have time we can browse the possible libraries,,
,,,,,,,,,,,,
,,,,,,date format for extracting,,,,,,
,,,,,,,SQLite only has 4 data types,,,,,
,,,,,,,,we were hoping it may have a DATE format but only has a BLOB/TEXT/INT,,,,
,,,,,,,,"BLOB is raw data, inserted as is ",,,,
,,,,,,,,,probably better for images for binary input,,,
,,,,,,,,INT ,,,,
,,,,,,,,,would not be good for dates because of potential integer overflows,,,
,,,,,,,,,#NAME?,,,
,,,,,,,,TEXT is string data,,,,
,,,,,,,,,best choice ,,,
,,,,,,,,,would require string parsing in the business objects,,,
,,,,,,,Database Desired Method Calls,,,,,
,,,,,,,,format of passed string = desired date format (agreeing on protocol),,,,
,,,,,,,,,YYYYMMDD,,,
,,,,,,,,,as series of ints for year/month/day,,,
,,,,,,,,,,add as an overloaded option,,
,,,,,,,,,,,"getDay(2016,15,20)",
,,,,,,,,,,,,"convert to ""2016"" + ""15"" + ""20"""
,,,,,,,,,,"Decided not to use Ints, will use Data string-format protocol (described below)",,
,,,,,,,,gets:,,,,
,,,,,,,,,"getDay(""YYYYMMDD"")",,,
,,,,,,,,,,arraylist or string[] return?,,
,,,,,,,,,,"transHistory[X], where x = rows returned",,
,,,,,,,,,,eg ,,
,,,,,,,,,,,Goals.getweight,
,,,,,,,,,getWeek,,,
,,,,,,,,,,YYYYMMDD,,
,,,,,,,,,,return entries for that ,,
,,,,,,,,,getMonth,,,
,,,,,,,,,,YYYYMM,,
,,,,,,,,,,return entries for that month,,
,,,,,,,,,Scott's statistics feature will make use of this data,,,
,,,,,,,,,But what should it return?,,,
,,,,,,,,,,An array list,,
,,,,,,,,,,,Awkward because could be many different things in there (between the angle brackets ArrayList<name>),
,,,,,,,,,,A string array,,
,,,,,,,,,,,Too much parsing? Format inconsistnet,
,,,,,,,,,,A class optimized for these return values,,
,,,,,,,,,,,We will discuss the implementation of the return next meeting,
,,,,,,,,Will be placed in business classes,,,,
,,,,,,,,,We will have a stub database for each one and make corresponding database entries later,,,
,,,,,,,,,,This way we don't have to wait/learn to make the required Database queries,,
,,,,,,,,,<see discussion on SQLite tutorial>,,,
,,,,,,,,"AGREED DATE FORMAT IS NOW ""yyyy-MM-DD""",,,,
,,,,,,,,,"follows SQLite's Date class's ""toString()"" method return",,,
,,,,,,,,,,,,
,,,,,,need a goals table for interacting with Wilson's branch,,,,,,
,,,,,,,columns:,,,,,
,,,,,,,,date,,,,
,,,,,,,,target weight,,,,
,,,,,,,,...?,,,,
,,,,,,,,,,,,
,,,,,,add more big user stories to trello,,,,,,
,,,,,,,"we have 6-7 currently, we can meet the customer and ask for more ",,,,,
,,,,,,,,Since we need 9-12,,,,
,,,,,,,,Possibility to incorporate sound (ask customer),,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,what do we do for incorrect inputs of times,,,,,,
,,,,,,,testing cases,,,,,
,,,,,,,need to have more tests built for this iteration,,,,,
,,,,,,,,each business class needs a stub database + database interaction,,,,
,,,,,,,,Robby will write the database test class,,,,
,,,,,,,,,,,,
,,,,,,what metrics to use ,,,,,,
,,,,,,,grams? (makes things easier),,,,,
,,,,,,,,"proteins, fats, and carbs will be all ",,,,
,,,,,,,,we can then convert this into calories (based on passed logic),,,,
,,,,,,,maybe add a converter between imperial,,,,,
,,,,,,,Wilson would not mind looking up this information ,,,,,
,,,,,,,,,,,,
,,,,,,why do we keep the stub database?,,,,,,
,,,,,,,for testing,,,,,
,,,,,,,,reuse the values,,,,
,,,,,,,,,we can work with the stub database dummy values + insert them into the SQL table to test for exact output,,,
,,,,,,,so each test will get its own stub + database insertion test,,,,,
,,,,,,,,,,,,
,,,,,,Robby will give an SQLite tutorial on Monday (7th) and describe how to use the database w/ queries,,,,,,
,,,,,,,saves time reading through SQLite yourself,,,,,
,,,,,,,"until then, use stub databases that have generic enough names to be using either stub database or actual queries",,,,,
,,,,,,,We will all need to learn how to make the queries,,,,,
,,,,,,,,OR write empty requested methods into your class and Robby can write the query,,,,
,,,,,,,,We should all learn how to do it,,,,
,,,,,,,,,so tutorial Monday,,,
,,,,,,,,,,,,
,,,,,,Next meeting:,,,,,,
,,,,,,,SQLite tutorial ,,,,,
,,,,,,,Decide on better meeting times,,,,,
,,,,,,,Read It2 requirements again,,,,,
,,,,,,,Discuss return values for SQLite queries (after tutorial),,,,,
,,,,,,,Discuss Refractoring,,,,,
,,,,,,,Discuss progress so far,,,,,
,,,,,,,Discuss CSV Converter,,,,,
3/9/2016,4,All Present,Agreed on nutrients to output,We decided on the following nutrients,The agreed nutrients seemed the most common,,,,,,,
,,,,We decided on a database format for SQL queries,The SQL agreed protocol let us agree on expected database calls,NutrientUnit,,,,,,
,,,,,,ALCOHOL,,,,,,
,,,,,,CAFFEINE,,,,,,
,,,,,,CALCIUM,,,,,,
,,,,,,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)",,,,,,
,,,,,,CHOLESTEROL,,,,,,
,,,,,,ENERGY (KILOCALORIES),,,,,,
,,,,,,ENERGY (KILOJOULES),,,,,,
,,,,,,FAT (TOTAL LIPIDS),,,,,,
,,,,,,"FATTY ACIDS, MONOUNSATURATED, TOTAL",,,,,,
,,,,,,"FATTY ACIDS, POLYUNSATURATED, TOTAL",,,,,,
,,,,,,"FATTY ACIDS, SATURATED, TOTAL",,,,,,
,,,,,,"FATTY ACIDS, TRANS, TOTAL",,,,,,
,,,,,,"FIBRE, TOTAL DIETARY",,,,,,
,,,,,,FOLIC ACID,,,,,,
,,,,,,FRUCTOSE,,,,,,
,,,,,,GALACTOSE,,,,,,
,,,,,,GLUCOSE,,,,,,
,,,,,,IRON,,,,,,
,,,,,,LACTOSE,,,,,,
,,,,,,MAGNESIUM,,,,,,
,,,,,,MANGANESE,,,,,,
,,,,,,MOISTURE,,,,,,
,,,,,,NATURALLY OCCURRING FOLATE,,,,,,
,,,,,,OXALIC ACID,,,,,,
,,,,,,PHOSPHORUS,,,,,,
,,,,,,POTASSIUM,,,,,,
,,,,,,PROTEIN,,,,,,
,,,,,,RIBOFLAVIN,,,,,,
,,,,,,SODIUM,,,,,,
,,,,,,STARCH,,,,,,
,,,,,,SUCROSE,,,,,,
,,,,,,"SUGARS, TOTAL",,,,,,
,,,,,,THIAMIN,,,,,,
,,,,,,VITAMIN B-12,,,,,,
,,,,,,"VITAMIN B12, ADDED",,,,,,
,,,,,,VITAMIN B-6,,,,,,
,,,,,,VITAMIN C,,,,,,
,,,,,,VITAMIN D (D2 + D3),,,,,,
,,,,,,VITAMIN D (INTERNATIONAL UNITS),,,,,,
,,,,,,"VITAMIN D2, ERGOCALCIFEROL",,,,,,
,,,,,,VITAMIN K,,,,,,
,,,,,,ZINC,,,,,,
